SalesOrderNumber,SalesOrderLineNumber,OrderDate,CustomerName,EmailAddress,Item,Quantity,UnitPrice,TaxAmount
SO43715,1,2019-07-03,Warren Jai,warren42@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO43716,1,2019-07-03,Jonathon Gutierrez,jonathon8@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43719,1,2019-07-03,Lucas Hill,lucas45@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43713,1,2019-07-03,Sydney Rogers,sydney3@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43717,1,2019-07-03,Alexandra Watson,alexandra20@adventure-works.com,"Road-650 Black, 62",1,699.0982,55.9279
SO43718,1,2019-07-03,Kevin Gonzalez,kevin46@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43727,1,2019-07-04,Logan Gonzales,logan18@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43724,1,2019-07-04,Misty Raji,misty23@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43722,1,2019-07-04,Albert Blanco,albert15@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43725,1,2019-07-04,Anne Dominguez,anne14@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43723,1,2019-07-04,Bonnie Xu,bonnie10@adventure-works.com,"Road-650 Black, 58",1,699.0982,55.9279
SO43726,1,2019-07-04,Kelvin Huang,kelvin25@adventure-works.com,"Road-650 Black, 58",1,699.0982,55.9279
SO43736,1,2019-07-05,Ruben Torres,ruben35@adventure-works.com,"Mountain-100 Silver, 44",1,3399.99,271.9992
SO43732,1,2019-07-05,Alejandro Beck,alejandro45@adventure-works.com,"Mountain-100 Black, 44",1,3374.99,269.9992
SO43729,1,2019-07-05,Mayra Prasad,mayra9@adventure-works.com,"Mountain-100 Silver, 44",1,3399.99,271.9992
SO43731,1,2019-07-05,Rosa Zheng,rosa19@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO43735,1,2019-07-05,Casey Pal,casey13@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43728,1,2019-07-05,Alyssa Garcia,alyssa16@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO43734,1,2019-07-05,Richard Brooks,richard81@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43733,1,2019-07-05,Patrick Cook,patrick26@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43730,1,2019-07-05,Garrett Cooper,garrett13@adventure-works.com,"Mountain-100 Silver, 44",1,3399.99,271.9992
SO43741,1,2019-07-06,Jeremiah Martinez,jeremiah8@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43740,1,2019-07-06,Cory Arun,cory5@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43744,1,2019-07-06,Haley Ward,haley13@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO43743,1,2019-07-06,Marco Mehta,marco14@adventure-works.com,"Mountain-100 Silver, 48",1,3399.99,271.9992
SO43738,1,2019-07-06,Melody Ramos,melody17@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43737,1,2019-07-06,Lindsey Andersen,lindsey14@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43742,1,2019-07-06,Tamara Lal,tamara20@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO43739,1,2019-07-06,Phillip Sai,phillip6@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43752,1,2019-07-07,Luke Adams,luke46@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43750,1,2019-07-07,Stacey Lu,stacey12@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43751,1,2019-07-07,Darrell Raji,darrell9@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO43746,1,2019-07-07,Kelvin Liang,kelvin35@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43753,1,2019-07-07,Tabitha Arthur,tabitha5@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43745,1,2019-07-07,Manuel Fernandez,manuel14@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43747,1,2019-07-07,Christian Jackson,christian47@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO43748,1,2019-07-07,Alexandria Hughes,alexandria11@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO43749,1,2019-07-07,Paige Murphy,paige39@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO43756,1,2019-07-08,Cedric Liang,cedric16@adventure-works.com,"Road-650 Black, 58",1,699.0982,55.9279
SO43755,1,2019-07-08,Kayla Long,kayla33@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43754,1,2019-07-08,Morgan Phillips,morgan4@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43758,1,2019-07-08,Jackson Li,jackson28@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43761,1,2019-07-08,Brenda Fernandez,brenda19@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43760,1,2019-07-08,Tiffany Gao,tiffany15@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO43757,1,2019-07-08,Shannon Wang,shannon1@adventure-works.com,"Mountain-100 Black, 44",1,3374.99,269.9992
SO43759,1,2019-07-08,Jon Chander,jon12@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43765,1,2019-07-09,Jacquelyn Suarez,jacquelyn20@adventure-works.com,"Mountain-100 Silver, 44",1,3399.99,271.9992
SO43767,1,2019-07-09,Eugene Huang,eugene10@adventure-works.com,"Mountain-100 Black, 44",1,3374.99,269.9992
SO43766,1,2019-07-09,Krystal Holt,krystal6@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO43763,1,2019-07-09,Martha Liang,martha16@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO43764,1,2019-07-09,Ebony Ashe,ebony31@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43762,1,2019-07-09,Courtney Carter,courtney8@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO43770,1,2019-07-10,Warren Ye,warren25@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43779,1,2019-07-10,Warren Zhang,warren17@adventure-works.com,"Road-650 Red, 44",1,699.0982,55.9279
SO43769,1,2019-07-10,Gabrielle Jenkins,gabrielle29@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43768,1,2019-07-10,Evan Bailey,evan17@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43773,1,2019-07-10,Arthur Perez,arthur22@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO43772,1,2019-07-10,Damien Huang,damien4@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43777,1,2019-07-10,Troy Sai,troy6@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43774,1,2019-07-10,Roy Raman,roy12@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO43778,1,2019-07-10,Clarence Rai,clarence32@adventure-works.com,"Mountain-100 Silver, 42",1,3399.99,271.9992
SO43775,1,2019-07-10,Jessie Zhao,jessie16@adventure-works.com,"Mountain-100 Silver, 48",1,3399.99,271.9992
SO43776,1,2019-07-10,James Flores,james28@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO43771,1,2019-07-10,Ashley Washington,ashley40@adventure-works.com,"Road-650 Red, 52",1,699.0982,55.9279
SO43780,1,2019-07-11,Melody Diaz,melody3@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43782,1,2019-07-11,Melvin She,melvin0@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43781,1,2019-07-11,Monique Ramos,monique14@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43783,1,2019-07-11,Cameron Thompson,cameron33@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43792,1,2019-07-12,Andres Lal,andres5@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43791,1,2019-07-12,Dustin Lal,dustin8@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO43785,1,2019-07-12,Ivan Raman,ivan8@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43786,1,2019-07-12,Clinton Moreno,clinton3@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43793,1,2019-07-12,Jon Yang,jon24@adventure-works.com,"Mountain-100 Silver, 38",1,3399.99,271.9992
SO43794,1,2019-07-12,Jimmy Moreno,jimmy9@adventure-works.com,"Mountain-100 Silver, 48",1,3399.99,271.9992
SO43788,1,2019-07-12,Latoya Goel,latoya18@adventure-works.com,"Mountain-100 Black, 48",1,3374.99,269.9992
SO43784,1,2019-07-12,Jessica Sanchez,jessica1@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43790,1,2019-07-12,Abigail Perry,abigail75@adventure-works.com,"Mountain-100 Silver, 38",1,3399.99,271.9992
SO43789,1,2019-07-12,Tristan Butler,tristan15@adventure-works.com,"Mountain-100 Black, 48",1,3374.99,269.9992
SO43787,1,2019-07-12,Don Lal,don8@adventure-works.com,"Mountain-100 Silver, 38",1,3399.99,271.9992
SO43795,1,2019-07-13,Maria Henderson,maria28@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43800,1,2019-07-13,Brittany Gonzales,brittany15@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43802,1,2019-07-13,Armando Moreno,armando6@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43801,1,2019-07-13,Blake Butler,blake62@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43798,1,2019-07-13,Tonya She,tonya0@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43799,1,2019-07-13,Danny Gomez,danny1@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43797,1,2019-07-13,Francis Ramos,francis15@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43796,1,2019-07-13,Jaime Gomez,jaime0@adventure-works.com,"Road-650 Black, 52",1,699.0982,55.9279
SO43806,1,2019-07-14,Sandra Huang,sandra12@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43809,1,2019-07-14,Fernando Thompson,fernando14@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43804,1,2019-07-14,Savannah Morris,savannah17@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43808,1,2019-07-14,Allen Garcia,allen13@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO43805,1,2019-07-14,Samuel Hernandez,samuel49@adventure-works.com,"Road-650 Red, 48",1,699.0982,55.9279
SO43807,1,2019-07-14,Ernest Lin,ernest7@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43810,1,2019-07-14,Elizabeth Johnson,elizabeth5@adventure-works.com,"Mountain-100 Silver, 42",1,3399.99,271.9992
SO43811,1,2019-07-14,Harold Sai,harold3@adventure-works.com,"Mountain-100 Silver, 44",1,3399.99,271.9992
SO43803,1,2019-07-14,Alexa Sanders,alexa3@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO43827,1,2019-07-15,Anthony Walker,anthony9@adventure-works.com,"Road-650 Black, 44",1,699.0982,55.9279
SO43814,1,2019-07-15,Tristan Perry,tristan8@adventure-works.com,"Mountain-100 Black, 44",1,3374.99,269.9992
SO43823,1,2019-07-15,Armando Navarro,armando10@adventure-works.com,"Road-650 Black, 52",1,699.0982,55.9279
SO43820,1,2019-07-15,Jeremy Murphy,jeremy43@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43812,1,2019-07-15,Bianca Zheng,bianca16@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43821,1,2019-07-15,Aaron Collins,aaron35@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43822,1,2019-07-15,Katelyn Allen,katelyn47@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO43813,1,2019-07-15,Frederick Suri,frederick0@adventure-works.com,"Mountain-100 Black, 44",1,3374.99,269.9992
SO43826,1,2019-07-15,Rob Verhoff,rob4@adventure-works.com,"Mountain-100 Black, 38",1,3374.99,269.9992
SO43819,1,2019-07-15,Janet Alvarez,janet9@adventure-works.com,"Mountain-100 Silver, 44",1,3399.99,271.9992
SO43824,1,2019-07-15,Marcel Truempy,marcel0@adventure-works.com,"Road-650 Black, 44",1,699.0982,55.9279
SO43815,1,2019-07-15,Jordyn Simmons,jordyn15@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43817,1,2019-07-15,Yolanda Chander,yolanda14@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43816,1,2019-07-15,Dawn Tang,dawn28@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO43818,1,2019-07-15,Dominique Garcia,dominique12@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43825,1,2019-07-15,Levi Sai,levi5@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO43830,1,2019-07-16,Raul Sharma,raul8@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43832,1,2019-07-16,Isaiah Cox,isaiah9@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
